url,name,rating,location,address,cuisines,cost_for_two,hours,facilities,phone_number_1,phone_number_2,phone_number_3,hours_int,hours_categorical,amount_cuisines,amount_facilities
https://www.zomato.com/jakarta/kuetiau-sapi-a-chai-serpong-utara/info,Kuetiau Sapi A-Chai,3.7,Serpong Utara,"Ruko Glaze I, Blok B No. 27, Jl. Boulevard Raya, Gading Serpong, Serpong Utara, Tangerang","Chinese,Bakso,Indonesian",150000,11h – 23h (Today),"Takeaway Available,Indoor Seating",+622129011616,,,11,Morning,3,2
https://www.zomato.com/jakarta/babi-guling-ko-made-muara-karang/info,Babi Guling Ko Made,4.1,Muara Karang,"Jl. Pluit Karang Indah Timur, Blok L9 Timur 23-24, Muara Karang, Jakarta","Balinese,Indonesian",150000,Opens tomorrow at 9h,"Takeaway Available,Outdoor Seating,Wifi,Indoor Seating",+6287878639089,,,9,Morning,2,4
https://www.zomato.com/jakarta/pondok-pangandaran-kelapa-gading/info,Pondok Pangandaran,4.5,Kelapa Gading,"Jl. Boulevard Raya, Blok QA 1 No. 22, Kelapa Gading, Jakarta","Seafood,Sunda",150000,Opens tomorrow at 10h 30m,"Takeaway Available,Beer,Indoor Seating",62214502548,62214507916,,10,Morning,2,3
https://www.zomato.com/jakarta/seorae-kelapa-gading/info,Seorae,4.0,Kelapa Gading,"Mall Kelapa Gading 5, Lantai 3, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta","Korean,BBQ,Grill",250000,Opens tomorrow at 10h,"Takeaway Available,Beer,Table booking recommended,Kid Friendly,Wifi,Indoor Seating",+62214525197,,,10,Morning,3,6
https://www.zomato.com/TokyoSkipjack/info,Tokyo Skipjack,4.5,Blok M,"Jl. Bulungan Raya No. 16, Blok M, Jakarta","Japanese,Steak",240000,11h – 23h (Today),"Takeaway Available,Beer,Table booking recommended,Wifi,Valet Parking Available,Outdoor Seating,Indoor Seating,Smoking Area",+6281289222224,,,11,Morning,2,8
https://www.zomato.com/jakarta/mlinjo-cafe-and-resto-slipi/info,Mlinjo Cafe and Resto,4.3,Slipi,"Jl. Kemuning No. 50, Slipi, Jakarta 11430",Indonesian,150000,Opens tomorrow at 9h,"Breakfast,Home Delivery,Takeaway Available,Indoor Seating,Table booking recommended,Smoking Area,Praying Room",+62215684701,,,9,Morning,1,7
https://www.zomato.com/jakarta/kkuldak-jatinegara/info,Kkuldak,3.5,Jatinegara,"Mall@Bassura City, Lantai 2, Jl. Jendral Basuki Rahmat No. 1, Jatinegara, Jakarta","Fast Food,Korean",120000,Opens tomorrow at 10h,"Takeaway Available,Wifi,Indoor Seating",+622122807300,,,10,Morning,2,3
https://www.zomato.com/jakarta/whynot-coffee-pecenongan/info,Whynot Coffee,3.4,Pecenongan,"The BOXX-IN, Jl. Sukarjo Wiryopranoto No. 2, Pecenongan, Jakarta",Coffee,80000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating,Live Entertainment,Smoking Area",+62817018877,,,10,Morning,1,4
https://www.zomato.com/jakarta/grandpas-store-cafe-cipondoh-tangerang/info,Grandpa's Store & Cafe,3.7,Cipondoh,"Ruko Sentra Niaga, Blok A No. 10, Jl. Green Lake City, Cipondoh, Tangerang","Cafe,Bakery,Western",180000,Opens tomorrow at 10h,"Takeaway Available,Indoor Seating,Table booking recommended,Smoking Area,Free Parking,Private Dining Area Available,Wifi,Desserts and Bakes",+622122520046,,,10,Morning,3,8
https://www.zomato.com/jakarta/rm-bumi-aki-cisarua-bogor/info,RM. Bumi Aki,4.3,Cisarua,"Jl. Raya Puncak Ciloto No. 59, Cisarua, Bogor",Sunda,200000,Opens tomorrow at 8h,"Breakfast,Home Delivery,Takeaway Available,Live Entertainment,Indoor Seating,Smoking Area,Outdoor Seating,Praying Room,Wifi",62263517711,628111164165,,8,Morning,1,9
https://www.zomato.com/jakarta/on-three-scbd/info,On Three,4.2,SCBD,"Senopati Suites 3, 3rd Floor, Jl. Senopati Raya 41, Kebayoran Baru, RT.8/RW.2, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta","Cafe,Desserts,Coffee,Tea",150000,Opens tomorrow at 7h,"Breakfast,Takeaway Available,Outdoor Seating,Rooftop,Praying Room,Wifi,Indoor Seating,Smoking Area,Desserts and Bakes",+622127533333,,,7,Morning,4,9
https://www.zomato.com/jakarta/burger-bakar-qebul-pasar-minggu/info,Burger Bakar Qebul,4.3,Pasar Minggu,"Jl. Nangka Raya No. 65, Pasar Minggu, Jakarta",Burger,50000,Opens tomorrow at 11h,"Takeaway Available,Outdoor Seating,Indoor Seating",+6285810977110,,,11,Morning,1,3
https://www.zomato.com/jakarta/nedhisei-muara-karang/info,Nedhise'i,4.4,Muara Karang,"Jl. Pluit Karang Permai, Blok S7 Selatan No. 6, Muara Karang, Jakarta 14450",Indonesian,100000,Opens tomorrow at 10h,"Home Delivery,Takeaway Available,Indoor Seating,Table booking recommended,Wifi",+62895359555888,,,10,Morning,1,5
https://www.zomato.com/jakarta/sate-taichan-khas-uda-beji-depok/info,Sate Taichan Khas Uda,3.9,Beji,"Jl. Margonda Raya No. 177C, Beji, Depok",Satay,80000,15h – 23h (Today),"Takeaway Available,Outdoor Seating,Indoor Seating",+6281295107085,,,15,Afternoon,1,3
https://www.zomato.com/jakarta/marys-pastry-lab-kemang/info,Mary's Pastry Lab,4.3,Kemang,"Jl. Kemang Timur Raya No. 90 C, Kemang, Jakarta","Western,Bakery,Desserts",200000,Opens tomorrow at 8h,"Home Delivery,Takeaway Available,Indoor Seating,Table booking recommended,Desserts and Bakes,Free Parking,Smoking Area",+6283870193677,,,8,Morning,3,7
