Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Condo,"DABEST PROPERTIES: 2 Bedroom Condo for Sale in Phnom Penh-Chroy Changvar - Price: USD 249,039","$249,039","Properties Dabest, Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,2,2,1,6,117m²,S/W,"DaBest Properties Cambodia Co., Ltd",For sale
Villa,DABEST PROPERTIES: European​​ 6 Bedroom Villa with Swimming pool for Sale in Siem Reap-Sala Kamreuk ,"$1,950,000","Dabest Properties, Sala Kamraeuk, Siem Reap, Siem Reap",2100m²,6,7,NaN,NaN,548m²,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Villa,DABEST PROPERTIES: Modern Villa for Sale in Siem Reap-Svay Dangkum,"$700,000","Svay Dankum, Siem Reap, Siem Reap",541m²,3,4,NaN,NaN,NaN,NaN,"DaBest Properties Cambodia Co., Ltd",For sale
Condo,DABEST PROPERTIES: 2 ​​Bedroom High Floor Condo for Sale In Phnom Penh- BKK3 ,"$172,018","BKK 3, Chamkarmon, Phnom Penh",NaN,2,NaN,NaN,26,72m²,N,"DaBest Properties Cambodia Co., Ltd",For sale,Price Reduced
Twin Villa,Villa for rent and sale at PH 6A,"$320,000","Preaek Lieb, Chroy Changvar, Phnom Penh",NaN,NaN,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,ខុនដូរសំរាប់លក់ Condo បូរីកីឡា,"$54,500"," Veal Vong, 7 Makara, Phnom Penh",NaN,1,1,NaN,NaN,NaN,NaN,TH Real Estate Agent,For sale or rent
House,"TS-731 - Townhouse for Sale in Sen Sok, Tuek Thla area","$170,000"," Tuek Thla, Sen Sok, Phnom Penh",NaN,5,6,1,2,64m²,NaN,T'S HOME Real Estate,For sale
House,"TS-731 - Townhouse for Sale in Sen Sok, Tuek Thla area","$200,000"," Tuek Thla, Sen Sok, Phnom Penh",NaN,5,6,1,2,64m²,NaN,T'S HOME Real Estate,For sale
House,"TS-730 - Townhouse for Sale in Sen Sok, Tuek Thla area","$120,000"," Tuek Thla, Sen Sok, Phnom Penh",NaN,5,6,1,2,NaN,NaN,T'S HOME Real Estate,For sale
Condo,ខុនដូរសំរាប់លក់ L បឹងទំពន់,"$46,500"," Boeung Tumpun, Meanchey, Phnom Penh",NaN,1,1,NaN,NaN,NaN,NaN,TH Real Estate Agent,For sale or rent,Ready to Move In
Villa,🚩 Villa For Sale In Boeung Kak-2 (Toul Kork Area).,"$1,600,000"," Boeung Kak 2, Toul Kork, Phnom Penh",514m²,4,5,NaN,NaN,NaN,NaN,Rentex Property Services,For sale,Price Negotiable
Condo,"Brand new condo J-Tower 2, 2Bed 2bath for sale and rentin Bkk1","$175,000","BKK 1, Chamkarmon, Phnom Penh",NaN,NaN,2,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,Shophouse for sale at bkk 2 area,"$850,000","BKK 2, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Villa,1 House for sale (ARATA premium Japan project): Price $125000$,"$125,000","Khmuonh, Sen Sok, Phnom Penh",NaN,4,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
House,House for Sale with good location in Phnom Penh-BKK2,"$850,000"," BKK 2, Chamkarmon, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Condo,Olympia Condo for Sale & Rent at Olympia City Project,"$80,000","Veal Vong, 7 Makara, Phnom Penh",NaN,1,NaN,1,NaN,NaN,NaN,TH Real Estate Agent,For sale or rent
Villa,Villa for Sale with good location in Phnom Penh-Chroy Jongva,"$1,000,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Condo,Urgent Condo Olympia City 2 bedrooms for sale,"$185,000","Veal Vong, 7 Makara, Phnom Penh",NaN,2,2,2,NaN,NaN,NaN,TH Real Estate Agent,For sale or rent,Urgent Sale
Villa,DAKA KUN REALTY: ផ្ទះវីឡាទំនើបមានអាងហែលទឹកលក់ក្នុងក្រុងសៀមរាប/Modern Villa for Sale in Siem Reap city,"$545,000","Svay Dankum, Siem Reap, Siem Reap",425m²,4,5,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,"DAKA KUN REALTY: ផ្ទះវីឡាលក់នៅស្វាយដង្គំលើផ្លូវបេតុង, ក្រុងសៀមរាប/Villa for Sale in Siem Reap ","$180,000","Svay Dankum, Siem Reap, Siem Reap",250m²,3,4,NaN,NaN,104m²,NaN,"Daka Kun Realty Co.,Ltd",For sale
Land,DAKA KUN REALTY: ដីចំការលក់បន្ទាន់ នៅស្រុកអង្គរធំ លើផ្លូវមេ 40ម៉ែត្រ តម្លៃក្រោមទីផ្សារ 50%- សៀមរាប/Urgent Sale-Land,$10/m²,"Leang Dai, Angkor Thum, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Land,"DAKA KUN REALTY: ដីលក់នៅភូមិពោធិ, ក្រុងសៀមរាប/Land for Sale in Siem Reap",$110/m²,"Siem Reap, Siem Reap, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Land,DAKA KUN REALTY: ដីលក់បន្ទាន់នៅជិតសាលាISSR ផ្លូវក្រវ៉ាត់ក្រុង-សៀមរាប / Urgent Sale Land near Ring Road-Siem Reap,$175/m²,"Siem Reap, Siem Reap, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Condo,🌆 urgent sell condo studio room at Olympia city project,"$75,000","Monireth 217, Veal Vong, 7 Makara, Phnom Penh",NaN,NaN,1,1,6,NaN,N,TH Real Estate Agent,For sale or rent,Urgent Sale
Condo,Condo for Rent or sale at Urban Village,"$105,000","Chak Angrae Leu, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,Shophouse for rent and sale at chea sopara blv,"$150,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",NaN,3,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,3 bedrooms for sale and rant at Toul Kouk area,"$180,000","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,NaN,3,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Link House,Sakura Villa for Sale (Urgent Sale),"$158,000"," Preaek Ta Sek, Chroy Changvar, Phnom Penh",128m²,3,3,1,1,NaN,N,Chhoun Vikchay,For sale,Price Negotiable
Flat,Flat for sale urgently below market price in Borey Odem 2,"$115,000"," Chaom Chau 1, Por Sen Chey, Phnom Penh",75m²,4,5,2,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Villa,"កូន Hybrid Villa (LA) for sale urgently, nice new house","$179,000"," Chrang Chamres I, Russey Keo, Phnom Penh",NaN,4,5,2,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
Land,"DAKA KUN REALTY: ដីលក់ចុះពីផ្លូវក្រវ៉ាត់ក្រុងទី2​ ប្រហែល150ម៉ែត្រ , ក្រុងសៀមរាប/Land for Sale in Siem Reap - Kandaek","$21,500"," Kandaek, Prasat Bakong, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Twin Villa,Twin(B) Villa For Sale in Borey Peng Hout Beung Snor (Project Eco Melody),"$340,000","Nirouth, Chbar Ampov, Phnom Penh",220m²,5,6,2,3,90m²,NaN,Full-Trust Real Estate,For sale
Apartment,Twin Villa for sale ,"$275,000","Cheasophara 598, Chrang Chamres I, Russey Keo, Phnom Penh",NaN,4,5,2,NaN,NaN,NaN,Global Property Services,For sale
Condo,Embassy Residence Condominium for sale ,"$219,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,15,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
House,Link House for sale ar Borey Lim ChheangHak,"$140,000"," Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,Global Property Services,For sale
House,link house in borey Sunway for urgent sale ,"$280,000"," Boeung Kak 2, Toul Kork, Phnom Penh",NaN,5,4,2,NaN,NaN,NaN,Global Property Services,For sale
House,link house lc2 for sale ,"$139,000","598 Cheasophara, Chrang Chamres I, Russey Keo, Phnom Penh",NaN,3,4,1,NaN,NaN,E,Global Property Services,For sale,Price Negotiable
Apartment,"Modern 2 Bedrooms Apartment for Rent In Toul Sangke, Toul Kork Area","$325,600","Boeung Kak 1, Toul Kork, Phnom Penh",NaN,2,2,NaN,NaN,NaN,NaN,Ah Mey,For sale or rent
Condo,"Two bedroom two bathroom for sale with Gym ,Swimming Pool in Phnom Penh-Hun Sen Road ","$147,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Villa,Very beautiful Twin Villa for sale with Fully furnish in Phnom Penh-Hun Sen Road ,"$575,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Villa,Very beautifull Twin Villa for sale with Fully furnished in Phnom Penh-Hun Sen road,"$560,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Villa,Best Villa for sale with big size and good location in Phnom Penh-Hun Sen road,"$598,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale
Condo,Nice 1-Bedroom Condominium for Sale,"$54,000"," Olympic, Chamkarmon, Phnom Penh",NaN,1,1,NaN,13,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,J Tower South BKK 1Condominium For Sale Modern style ,"$119,000","63 , Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,8,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Land,📢 Land for sale (corner land) Location Boeung Tumpun,"$310,000"," Boeung Tumpun, Meanchey, Phnom Penh",230m²,NaN,NaN,NaN,NaN,NaN,NaN,Century 21 Fuji Realty,For sale
House,DAKA KUN REALTY: 2 Bedrooms House for Sale in Siem Reap,"$60,000","Sangkat Sambuor, Siem Reap, Siem Reap",NaN,2,3,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: 2 Bedrooms House for Sale in Siem Reap-Svay Dangkum,"$29,000"," Sangkat Sambuor, Siem Reap, Siem Reap",NaN,2,1,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: 2 Bedrooms House for Sale in Siem Reap-Svay Dangkum,"$68,000"," Svay Dankum, Siem Reap, Siem Reap",NaN,2,1,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Villa,"DAKA KUN REALTY: ផ្ទះវីឡាទំនើបលក់ ចុះពីផ្លូវជាតិលេខ06 ប្រហែល 2នាទី, ក្រុងសៀមរាប/Villa for Sale in Siem Reap-Sla Kram","$1,000,000"," Sla Kram, Siem Reap, Siem Reap",NaN,7,8,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
House,DAKA KUN REALTY: 2 Bedrooms House for Sale in Siem Reap-Svay Dangkum,"$85,000","Svay Dankum, Siem Reap, Siem Reap",NaN,2,2,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd",For sale
Villa,"4 Bedroom Villa For Sale - Chreav, Siem Reap $ 185,000","$185,000"," Chreav, Siem Reap, Siem Reap",172m²,4,6,NaN,3,72m²,NaN,Borey For Sale,For sale
Shophouse,"4 Bedroom Shophouse For Sale - Boeung Tumpun, Phnom Penh","$160,000"," Boeung Tumpun, Meanchey, Phnom Penh",73m²,4,6,NaN,2,292m²,NaN,Borey For Sale,For sale
House,"2 Bedroom Link House For Sale - Borey Try Kim, Dangkao, Phnom Penh","$55,000"," Dangkao, Dangkao, Phnom Penh",62m²,2,3,NaN,1,62m²,NaN,Borey For Sale,For sale
Shophouse,"Beautiful decoration and spacious, Shophouse for RENT/SALE with full furniture located in Borey Peng Hout National Road No.1 (Boeung Snor)","$180,000"," Nirouth, Chbar Ampov, Phnom Penh",92m²,4,5,1,3,NaN,NaN,GC Realty,For sale or rent,Ready to Move In
Shophouse,Shophouse for rent and sale at Toul Songkhae,"$130,000","Tuol Sangke, Russey Keo, Phnom Penh",NaN,5,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Shophouse,Shophouse for rent and sale at prek leap,"$200,000","Preaek Lieb, Chroy Changvar, Phnom Penh",NaN,5,4,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Flat House,Beautiful Corner Modern Flat House for SALE,"$518,888"," Trapeang Krasang, Por Sen Chey, Phnom Penh",210m²,8,7,NaN,3,NaN,E,GC Realty,For sale
Condo,Residence L Olympic One Bedroom Condominium for sale urgent ,"$54,000"," Olympic, Chamkarmon, Phnom Penh",NaN,1,1,NaN,13,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,"2 Bedroom Condo For Sale in Habitat-Tonle Bassac, Phnom Penh","$300,000"," Tonle Bassac, Chamkarmon, Phnom Penh",89m²,2,2,NaN,2,89m²,NaN,IPS Cambodia,For sale
Condo,"1 Bedroom For Sale in Condo 240 - Daun Penh, Phnom Penh","$230,000"," Chakto Mukh, Daun Penh, Phnom Penh",66m²,1,2,NaN,5,66m²,NaN,IPS Cambodia,For sale
Land,DAKA KUN REALTY: Urgent Sale Land in Sala Kamreuk-Siem Reap,$300/m²," Sala Kamraeuk, Siem Reap, Siem Reap",NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Daka Kun Realty Co.,Ltd"
Villa,Villa King A Corner House at Niroth for sale,"$4,300,000","Nirouth, Chbar Ampov, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Twin Villa,Twin villa for sale 560000$ full furnitures,"$560,000","Chak Angrae Leu, Meanchey, Phnom Penh",NaN,5,5,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Twin Villa,Twin villa for sale at Peng Hout 60m,"$575,000","Chak Angrae Leu, Meanchey, Phnom Penh",NaN,4,5,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
House,House for sale at tel tha area,"$128,000","Tuek Thla, Sen Sok, Phnom Penh",NaN,NaN,3,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Condo,2-Bedroom type of condominium for sale,"$105,000"," BKK 3, Chamkarmon, Phnom Penh",NaN,2,2,1,6,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,"Penthouse 4 Bedrooms For Rent in Doun Penh, Monthly income: $4500/month ","$1,010,000","Phsar Thmei I, Daun Penh, Phnom Penh",NaN,4,4,1,NaN,329m²,E,Full-Trust Real Estate,For sale
Condo,Residence L Olympic One Bedroom Condominium for sale urgent ,"$54,000"," Olympic, Chamkarmon, Phnom Penh",NaN,1,1,NaN,13,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Villa,Villa For Sale at Diamond Island in Tonle Bassac Area,"$2,000,000","Tonle Bassac, Chamkarmon, Phnom Penh",300m²,7,7,NaN,NaN,180m²,N,Full-Trust Real Estate,For sale or rent
Villa,Villa For Sale at Diamond Island in Tonle Bassac Area,"$2,000,000","Tonle Bassac, Chamkarmon, Phnom Penh",300m²,7,7,NaN,NaN,NaN,N,Full-Trust Real Estate,For sale or rent
Condo,Di Riviera Condominium For Sale Urgent ,"$95,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,26,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Villa,Land For Sale in Beoung Keng Kang1,"$8,960,000","BKK 1, Chamkarmon, Phnom Penh",1400m²,NaN,NaN,NaN,NaN,NaN,N,Full-Trust Real Estate,For sale
Condo,Embassy Residence Condominium for sale Urgent,"$100,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,11,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,One Bedroom condo for sale near airport ,"$130,000"," Kakab 1, Por Sen Chey, Phnom Penh",NaN,1,1,1,NaN,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,De Castle Royal Two bedroom for sale with below market price,"$240,000"," BKK 1, Chamkarmon, Phnom Penh",NaN,2,3,1,10,NaN,NaN,Century 21 Fuji Realty,For sale
Condo,Embassy Residence Condominium for sale Urgent,"$219,000"," Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,1,15,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,2bedroom for Sale at Orkidē The Royal Condominium,"$200,000"," Ou Baek K'am, Sen Sok, Phnom Penh",NaN,2,2,NaN,8,144m²,NaN,Chhoun Vikchay,For sale,Price Negotiable
Condo,Studio Room for sale at L Beoung Trabek,"$50,000"," Boeung Trabek, Chamkarmon, Phnom Penh",NaN,1,1,NaN,2,NaN,NaN,Century 21 Fuji Realty,For sale,Price Negotiable
Condo,Studio room for sale in Beoung Trabek Area ,"$35,000"," Boeung Trabek, Chamkarmon, Phnom Penh",NaN,1,1,NaN,4,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,Residence L Beoung Trabek for sale ( Studio room ),"$35,000"," Boeung Trabek, Chamkarmon, Phnom Penh",NaN,1,1,NaN,6,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Apartment,"2 Bedroom Apartment For Sale - BKK1, Phnom Penh","$260,000"," BKK 1, Chamkarmon, Phnom Penh",108m²,2,2,NaN,NaN,108m²,NaN,IPS Cambodia,For sale
Condo,Time Square 2 studio room for sale urgent at Touk Kork,"$54,000"," Boeung Kak 1, Toul Kork, Phnom Penh",NaN,1,1,1,12,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Link House,Modern 4 bedroom Link house for sale in Orkidē the Royal ,"$305,000","Kolab , Ou Baek K'am, Sen Sok, Phnom Penh",110m²,4,6,1,3,NaN,S,Chhoun Vikchay,For sale,Price Negotiable
Villa,Queen Villa for Sale in Orkidē The Royal St 2004,"$1,150,000","Violet , Ou Baek K'am, Sen Sok, Phnom Penh",320m²,5,7,2,3,NaN,N,Chhoun Vikchay,For sale,Price Negotiable
Villa,King Villa at Orkidē The Royal for Sale with Specials Price ,"$1,950,000","Kolab , Ou Baek K'am, Sen Sok, Phnom Penh",480m²,5,7,3,3,NaN,N,Chhoun Vikchay,For sale,Price Negotiable
Shophouse,Shophouse In Commercial area for Sale at Orkidē The Royal ( Urgent Sale),"$350,000","Nakri , Ou Baek K'am, Sen Sok, Phnom Penh",92m²,3,5,1,3,NaN,S,Chhoun Vikchay,For sale,Price Negotiable
Condo,J Tower 1 Modern Style of Condominium For Sale ,"$115,000","63 , Tonle Bassac, Chamkarmon, Phnom Penh",NaN,1,1,NaN,7,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,Residence L Olympic One Bedroom Condominium for sale urgent ,"$54,000"," Olympic, Chamkarmon, Phnom Penh",NaN,1,1,NaN,13,NaN,NaN,Century 21 Fuji Realty,For sale,Urgent Sale
Condo,Decastle Royal BKK1 Completed Korean Project,"$210,000","BKK 1, Chamkarmon, Phnom Penh",NaN,1,1,1,NaN,103m²,NaN,Ah Mey,For sale or rent
Twin Villa,"4 Bedroom Twin Villa For Sale - Borey Vimean Phnom Penh, Russey Keo, Phnom Penh","$330,000"," Chrang Chamres I, Russey Keo, Phnom Penh",164m²,4,5,NaN,2,235m²,NaN,Borey For Sale,For sale
Villa,"5 Bedroom Villa Jasmine For Sale - Nirouth, Phnom Penh","$870,000"," Nirouth, Chbar Ampov, Phnom Penh",338m²,5,6,NaN,3,NaN,NaN,Borey For Sale,For sale
Villa,"3 Bedroom Villa Kon Kat Laor - Chankiri Palm Creek, Phnom Penh","$145,000"," Preaek Kampues, Dangkao, Phnom Penh",155m²,3,3,NaN,2,155m²,NaN,Borey For Sale,For sale
Villa,"Villa Kon Kat Laor Corner For Sale - Chankiri Palm Creek, Phnom Penh","$166,000"," Preaek Kampues, Dangkao, Phnom Penh",155m²,3,3,NaN,2,155m²,NaN,Borey For Sale,For sale
Villa,"5 Bedroom Villa For Sale - Camko City, Phnom Penh ","$390,000"," Boeung Kak 1, Toul Kork, Phnom Penh",120m²,5,5,1,3,NaN,NaN,Borey For Sale,For sale
Twin Villa,"4 Bedroom Twin Villa For Sale - Beoung Snor, Phnom Penh ","$390,000"," Nirouth, Chbar Ampov, Phnom Penh",216m²,4,5,1,2,168m²,NaN,Borey For Sale,For sale
Flat House,"4 Bedroom Flat House For Sale - Borey Highland City 371, Phnom Penh ","$130,000"," Boeung Tumpun, Meanchey, Phnom Penh",170m²,4,5,NaN,3,170m²,NaN,Borey For Sale,For sale
Villa,"4 Bedroom King Villa For Sale - Phnom Penh Park, Phnom Penh ","$850,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",468m²,4,5,NaN,NaN,252m²,NaN,Borey For Sale,For sale
Flat House,"2 Bedroom Flat House For Sale - Dangkao, Phnom Penh ","$110,266"," Dangkao, Dangkao, Phnom Penh",49m²,NaN,2,NaN,2,NaN,NaN,Borey For Sale,For sale
Villa,"4 Bedroom Villa For Sale - Teuk Thla, Phnom Penh","$360,000"," Tuek Thla, Sen Sok, Phnom Penh",154m²,4,5,NaN,3,216m²,NaN,Borey For Sale,For sale
Villa,"5 Bedroom Queen Villa For Sale - Hun Sen Blvd, Phnom Penh","$550,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",156m²,5,6,NaN,3,469m²,NaN,Borey For Sale,For sale
Twin Villa,"4 Bedroom Twin Villa For Sale -Chroy Changvar, Phnom Penh","$270,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",196m²,4,5,NaN,2,150m²,NaN,Borey For Sale,For sale
Twin Villa,"4 Bedroom Twin Villa For Sale - Borey Peng Huoth The Star Premier, Russey Keo, Phnom Penh","$380,000"," Chrang Chamres I, Russey Keo, Phnom Penh",126m²,4,5,NaN,3,64m²,NaN,Borey For Sale,For sale
Twin Villa,"3 Bedroom Twin Villa For Sale - Chroy Changvar, Phnom Penh","$218,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",117m²,3,3,NaN,NaN,72m²,NaN,Borey For Sale,For sale
Villa,"4 Bedroom Villa For Sale in Ta Khmau, Kandal","$650,000"," Ta Khmao, Ta Khmau, Kandal",883m²,4,5,NaN,2,320m²,NaN,Borey For Sale,For sale
Villa,"2 Bedroom Villa For Sale - Bakong District, Siem Reap","$89,000"," Bakong, Prasat Bakong, Siem Reap",72m²,2,2,NaN,2,72m²,NaN,Borey For Sale,For sale
Twin Villa,"3 Bedroom Twin Villa for sale - Svay Dangkum, Siem Reap","$110,000"," Svay Dankum, Siem Reap, Siem Reap",160m²,3,4,NaN,3,234m²,NaN,Borey For Sale,For sale
House,"3 Bedroom House For Sale - Svay Dangkum, Siem Reap","$175,000"," Svay Dankum, Siem Reap, Siem Reap",128m²,3,4,NaN,NaN,NaN,NaN,Borey For Sale,For sale
Villa,"5 Bedroom Villa For Sale - Chak Angrae Kraom, Phnom Penh","$480,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",200m²,5,6,NaN,2,90m²,NaN,Borey For Sale,For sale
Shophouse,"4 Bedroom Shophouse For Sale - Chip Mong 50M, Phnom Penh","$280,000"," Prey Sa, Dangkao, Phnom Penh",97m²,4,5,NaN,NaN,67m²,NaN,Borey For Sale,For sale
Shophouse,"4 Bedroom Shop House For Sale - Sen Sok, Phnom Penh","$330,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",72m²,4,5,NaN,3,216m²,NaN,Borey For Sale,For sale
Villa,"4 Bedroom Villa For Sale - Choeung Ek, Phnom Penh","$350,000"," Cheung Aek, Dangkao, Phnom Penh",176m²,4,5,NaN,NaN,72m²,NaN,Borey For Sale,For sale
House,"4 Bedroom Link House For Sale - Hun Sen Blvd, Phnom Penh","$280,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",110m²,4,6,NaN,3,198m²,NaN,Borey For Sale,For sale
Shophouse,3 Bedroom Shophouse For Sale - KMH Park-Phnom Penh,"$490,000"," Stueng Mean chey, Meanchey, Phnom Penh",94m²,3,4,NaN,2,310m²,NaN,Borey For Sale,For sale
Twin Villa,"3 Bedroom Twin Villa For Sale in Preak Leab, Phnom Penh","$119,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",NaN,3,4,NaN,3,50m²,NaN,Borey For Sale,For sale
House,"4 Bedroom Link House For Sale - Chip Mong 598, Phnom Penh","$260,000"," Chrang Chamres 2, Russey Keo, Phnom Penh",110m²,4,5,NaN,3,80m²,NaN,Borey For Sale,For sale
Flat,"3 Bedroom Flat For Sale - Borey New World, Dangkao, Phnom Penh","$93,000"," Dangkao, Dangkao, Phnom Penh",113m²,3,3,NaN,1,64m²,NaN,Borey For Sale,For sale
Villa,"4 Bedroom Villa Klem For Sale - Chankiri Palm Creek, Phnom Penh","$345,000"," Preaek Kampues, Dangkao, Phnom Penh",210m²,4,6,NaN,3,92m²,NaN,Borey For Sale,For sale
Villa,"4 Bedroom Link Villa Side Corner For Sale - Hun Sen Blvd, Phnom Penh","$330,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",NaN,4,5,NaN,2,NaN,NaN,Borey For Sale,For sale
Villa,4 bedrooms house for sale in Borey Peng Huot Boeung Snor Phnom Penh,"$200,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",75m²,4,5,NaN,3,225m²,NaN,Borey For Sale,For sale
Villa,"4 bedroom hybrid villa for sale in Borey Varina, Phnom Penh","$188,000"," Stueng Mean chey, Meanchey, Phnom Penh",105m²,4,5,NaN,2,55m²,NaN,Borey For Sale,For sale
Twin Villa,"Twin villa for sale in Borey Chip Mong Park Lane 50M, Sangkat Prey Sar, Khan Dangkor, Phnom Penh !!","$285,000","Prey Sa, Dangkao, Phnom Penh",184m²,4,5,1,3,72m²,NaN,Borey For Sale,For sale
Twin Villa,"Twin villas for sale in Sangkat Prek Leap, Khan Chroy Changva, Phnom Penh !!","$170,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",128m²,3,3,1,2,80m²,NaN,Borey For Sale,For sale
Twin Villa,"4 Bedroom Twin Villa For Sale - Borey Chip Mong 60 M, Phnom Penh","$399,000"," Cheung Aek, Dangkao, Phnom Penh",184m²,4,5,2,3,72m²,NaN,Borey For Sale,For sale
Twin Villa,"4 Bedroom Twin Villa​​ For Sale - Chak Angrae Kraom, Phnom Penh","$520,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",207m²,4,5,2,NaN,NaN,NaN,Borey For Sale,For sale
Villa,"4 Bedroom Villa For Sale - Prek Eng, Phnom Penh","$350,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",243m²,4,4,2,2,135m²,NaN,Borey For Sale,For sale
House,"4 Bedroom Townhouse For Sale - Tonle Bassac, Phnom Penh","$300,000"," Tonle Bassac, Chamkarmon, Phnom Penh",99m²,4,5,1,3,151m²,NaN,Borey For Sale,For sale
