Type,Title,Price,Location,Land Area,Bedroom,Bathroom,Car Space,Floor Level,Floor Area,Facing,Agency,Status,Status1,Status2,Status3
Land,"4950 Sqm Land For Sale - Ang Tasaom, Takeo Province","$325,000"," Angkor Borei, Angkor Borei, Takeo",4950m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Land,"4500 Sqm Residential Land For Sale - Kandaek, Siem Reap","$270,000"," Siem Reap, Siem Reap, Siem Reap",4500m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale
Condo,"Spacious 4 Bedroom Condominium for Sale in Boeung Kok, Toul Kork area","$210,000"," Boeung Kak 2, Toul Kork, Phnom Penh",NaN,NaN,NaN,NaN,NaN,NaN,NaN,Global Property Services,For sale,Price Negotiable
Condo,New project for sale at Time Square 4 bkk1,"$80,000","BKK 1, Chamkarmon, Phnom Penh",NaN,1,1,NaN,NaN,NaN,NaN,CENTURY 21 REGENT REALTY,For sale or rent
Land,"257 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$52,000"," Svay Dankum, Siem Reap, Siem Reap",257m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"1236 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$494,400"," Svay Dankum, Siem Reap, Siem Reap",1236m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"512 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$63,000"," Svay Dankum, Siem Reap, Siem Reap",512m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"299 Sqm Land For Sale - Kandek, Siem Reap","$45,000"," Kandaek, Prasat Bakong, Siem Reap",299m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Land,"3582 Sqm Residential Land For Sale - Svay Dangkum, Siem Reap","$304,470"," Svay Dankum, Siem Reap, Siem Reap",3582m²,NaN,NaN,NaN,NaN,NaN,NaN,IPS Cambodia,For sale,Price Negotiable
Twin Villa,✨ ថ្វីនវីឡាសម្រាប់លក់ តម្លៃពិសេស ✨,"$480,000"," Chak Angrae Leu, Meanchey, Phnom Penh",184m²,5,6,2,3,NaN,NaN,GC Realty,For sale,Ready to Move In
